source_query_category,title,isbn,authors,publisher,publish_year,publish_date_raw,page_count,language,category_name,unit,suggested_unit_price,status,openlibrary_key
计算机,Database Systems,9780321181053,Thomas Connolly; Carolyn Begg,Addison Wesley,2002,,,eng,计算机,本,79.0,onsale,/works/OL33852831W
计算机,Principles of multimedia database systems,9781558604667,V. S. Subrahmanian,Harcourt,1998,,442,eng,计算机,本,79.0,onsale,/works/OL2738701W
计算机,Database management systems,9780072465631,Raghu Ramakrishnan; Johannes Gehrke,McGraw-Hill Education,2001,,1104,eng,计算机,本,79.0,onsale,/works/OL16961668W
计算机,Fundamentals of database systems,9788129702289,Ramez Elmasri,Pearson Education,2004,,1030,eng,计算机,本,79.0,onsale,/works/OL16976274W
计算机,Active rules in database systems,9780387985299,Norman W. Paton,Springer,1999,,458,eng,计算机,本,79.0,onsale,/works/OL18227377W
计算机,"Database Systems - A Practical Approach to Design, Implementation, and Management",9781292061184,Thomas M. Connolly,Pearson Higher Education & Professional Group,2014,,1440,eng,计算机,本,79.0,onsale,/works/OL21078548W
计算机,Filing and database systems,9780070614819,Jeffrey Robert Stewart; Judith A. Scharle; Judith Scharle Greene,"Glencoe, Macmillan/McGraw-Hill",1989,,136,eng,计算机,本,79.0,onsale,/works/OL3922875W
计算机,Mobile Database Systems,9780471467922,Vijay Kumar,Wiley-Interscience,2006,,320,eng,计算机,本,79.0,onsale,/works/OL7947283W
计算机,A first course in database systems,9780136006374,Jeffrey D. Ullman; Jennifer D. Widom,Prentice Hall,2007,,592,eng,计算机,本,79.0,onsale,/works/OL17942757W
计算机,Advanced concepts in operating systems,9780071136686,Mukesh Singhal,McGraw-Hill,1994,,522,eng,计算机,本,79.0,onsale,/works/OL3939153W
计算机,Component database systems,9780080490724,Klaus R. Dittrich,Elsevier Science & Technology,2000,,323,eng,计算机,本,79.0,onsale,/works/OL16970724W
计算机,An advanced course in database systems,9780130428981,Suzanne Wagner Dietrich; Suzanne W Dietrich; Susan D. Urban,Pearson/Prentice Hall,2004,,320,eng,计算机,本,79.0,onsale,/works/OL5733105W
计算机,Database system implementation,9780130402646,Hector Garcia-Molina; Jeffrey D. Ullman; Jennifer D. Widom,Prentice Hall,1999,,653,eng,计算机,本,79.0,onsale,/works/OL18165428W
计算机,Introduction to Database Systems,9780321189561,C. J. Date; C.J. Date,"Pearson Education, Limited",2002,,1024,eng,计算机,本,79.0,onsale,/works/OL21380655W
计算机,Principles of relational database systems,9780137386185,Sitansu S. Mittra,Prentice Hall,1991,,314,eng,计算机,本,79.0,onsale,/works/OL4467845W
计算机,Database systems management and design,9780877091158,Philip J. Pratt; Joseph J. Adamski,Course Technology Ptr (Sd),1993,,739,eng,计算机,本,79.0,onsale,/works/OL2367794W
计算机,Nontraditional Database Systems,9781315213958,Katsumi Tanaka; Masaru Kitsuregawa; Akifumi Makinouchi; Shunsuke Uemura; Yoshifumi Masunaga,Taylor & Francis Group,2002,,270,eng,计算机,本,79.0,onsale,/works/OL21392063W
计算机,Bioinformatics Database Systems,9781439812471,Jason T. L. Wang; Katherine G. Herbert; Kevin Byron,Taylor & Francis Group,2012,,270,eng,计算机,本,79.0,onsale,/works/OL21237112W
计算机,Advances in database systems,9783211826140,J. Paredaens,"Springer London, Limited",1994,,377,eng,计算机,本,79.0,onsale,/works/OL18333087W
计算机,Fundamentals of Database Systems,9788131792476,"Elmasri,R., Navathe,S.B.",Pearson India,2013,,,,计算机,本,79.0,onsale,/works/OL27687009W
计算机,Encyclopedia of database systems,9780387399409,Ling Liu,Springer,2009,,3749,eng,计算机,本,79.0,onsale,/works/OL15615802W
计算机,Database Systems Using Oracle,9780130909336,Nilesh D. Shah,Prentice Hall,2002,,326,eng,计算机,本,79.0,onsale,/works/OL7948856W
计算机,Relational database systems,9780126443752,Dan A. Simovici,Academic Press,1995,,480,eng,计算机,本,79.0,onsale,/works/OL3752559W
计算机,Management information systems,9780130619600,Kenneth C. Laudon; Jane P. Laudon; Jane Price Laudon; Jane Laudon,Prentice Hall College Div,1945,,656,"ind,eng",计算机,本,79.0,onsale,/works/OL58235W
计算机,Architecture of a database system,9781601980786,Joseph M. Hellerstein,now Publishers Inc.,2007,,123,eng,计算机,本,79.0,onsale,/works/OL19827693W
计算机,Database systems,9788177585674,"Singh, S. K.",Dorling Kindersley (India),2006,,866,eng,计算机,本,79.0,onsale,/works/OL32242197W
计算机,Distributed databases,9780070108295,Stefano Ceri,McGraw-Hill,1984,,393,eng,计算机,本,79.0,onsale,/works/OL2712080W
计算机,Database Systems,9780138155049,"Pearson,Hector Garcia-Molina,Jeffrey D. Ullman,Jennifer Widom,",Pearson Custom Publishing,2009,,,,计算机,本,79.0,onsale,/works/OL34954981W
计算机,First Course in Database Systems,9781292025827,Jeffrey D. Ullman; Jennifer Widom,"Pearson Education, Limited",2002,,523,eng,计算机,本,79.0,onsale,/works/OL21513910W
计算机,Database Systems for Advanced Applications,9783030731939,Sourav S. Bhowmick; Curtis Dyreson; Christian S. Jensen,Springer,2014,,563,eng,计算机,本,79.0,onsale,/works/OL20770217W
计算机,Database System Concept 6/E (EPZ),9780071325226,Silberschatz A.,MHE,2011,,,,计算机,本,79.0,onsale,/works/OL20125396W
计算机,Database Systems Concepts with Oracle CD,9780072554816,Abraham Silberschatz,McGraw-Hill Science/Engineering/Math,2001,,840,eng,计算机,本,79.0,onsale,/works/OL15326818W
计算机,"Database Systems Design, Implementation, and Management, Loose-Leaf Version",9781337688826,Carlos Coronel; Steven Morris,Course Technology,2018,,,eng,计算机,本,79.0,onsale,/works/OL25632535W
计算机,Database System Concepts,9780077103651,Silberschatz,McGraw-Hill Education,2002,,1056,eng,计算机,本,79.0,onsale,/works/OL7911656W
计算机,Fundamentals of Database Systems,9780321204486,Ramez Elmasri,ADDISON WESLEY PUBLI,2003,,1009,eng,计算机,本,79.0,onsale,/works/OL9402170W
计算机,Database Systems : The Complete Book,9780131354289,Hector Garcia-Molina; Jeffrey D. Ullman; Jennifer Widom,"Pearson Education, Limited",2008,,1248,eng,计算机,本,79.0,onsale,/works/OL21422159W
计算机,Real-Time Database Systems,9780306469886,Kam-Yiu Lam; Tei-Wei Kuo,Springer,2001,,289,eng,计算机,本,79.0,onsale,/works/OL20784529W
计算机,Database Systems,9781000562125,Elvis C. Foster; Shripad V. Godbole,"Auerbach Publishers, Incorporated",2022,,,eng,计算机,本,79.0,onsale,/works/OL26517177W
计算机,Database System,9788120712638,M. M. Kashyap,South Asia Books,1993,,392,eng,计算机,本,79.0,onsale,/works/OL10224635W
计算机,Modern Database Systems,9780201590982,Won Kim,Addison Wesley Longman,1995,,705,eng,计算机,本,79.0,onsale,/works/OL8020883W
计算机,Bundle,9780357475140,Carlos Coronel; Steven Morris,Cengage Learning,2018,,,eng,计算机,本,79.0,onsale,/works/OL27836087W
计算机,RDF database systems,9780128004708,Olivier Curé,Morgan Kaufmann,2014,,243,eng,计算机,本,79.0,onsale,/works/OL23207981W
计算机,Database Systems,9780077095000,Paolo Atzeni; Stefano Ceri; Stefano Parabosci; Riccardo Torlone,McGraw-Hill Publishing Co.,2007,,600,eng,计算机,本,79.0,onsale,/works/OL9263520M
计算机,Database systems,9780155000292,Alden C. Lorents,Dryden Press,1998,,650,eng,计算机,本,79.0,onsale,/works/OL2761118W
计算机,Introduction to database systems,9780071246507,Stephane Bressan; Barbara Catania,McGraw-Hill Education (Asia),2005,,168,eng,计算机,本,79.0,onsale,/works/OL28942949W
计算机,Principles of database and knowledge-base systems,9780881751888,Jeffrey D. Ullman,Computer Science Press,1988,,631,eng,计算机,本,79.0,onsale,/works/OL2640323W
计算机,Database Systems,9781943153671,"Nenad Jukic, Susan Vrbsky, Svetlozar Nestorov, Abhishek Sharma",Prospect Press,2020,,1,eng,计算机,本,79.0,onsale,/works/OL37485789W
计算机,Principles of distributed database systems,9780137156818,M. Tamer Özsu,Prentice-Hall International,1991,,562,eng,计算机,本,79.0,onsale,/works/OL4466971W
计算机,The EXOSAT database system,9789290922094,Chris Barron; EXOSAT Observatory. Space Science Department,European Space Agency,1991,,74,eng,计算机,本,79.0,onsale,/works/OL42734901W
计算机,Multimedia Database Systems,9781461304630,Kingsley C. Nwosu,Springer US,1996,,392,eng,计算机,本,79.0,onsale,/works/OL19889510W
计算机,Recovery in parallel database systems,9783528054113,Svein-Olaf Hvasshovd,"Vieweg Verlag, Friedr, & Sohn Verlagsgesellschaft mbH",1996,,302,"ger,eng",计算机,本,79.0,onsale,/works/OL9248604W
计算机,Database System Concepts,9789332901384,"S. Sudarshan,Abraham Silberschatz,Henry F. Korth",McGraw-Hill,2015,,,hin,计算机,本,79.0,onsale,/works/OL37490290W
计算机,Fund Database System,9780805368307,Navathe,"Benjamin-Cummings Publishing Co.,Subs. of Addison Wesley Longman,US",1987,,600,,计算机,本,79.0,onsale,/works/OL9339705W
计算机,Advances In Intelligent Information And Database Systems,9783642120909,Radoslaw Katarzyniak,Springer,2010,,400,eng,计算机,本,79.0,onsale,/works/OL17425685W
计算机,Advanced database systems,9780387556932,"British National Conference on Databases (10th 1992 Aberdeen, Scotland)",Springer-Verlag,1992,,260,eng,计算机,本,79.0,onsale,/works/OL4291410W
计算机,Nontraditional database systems,9780415302067,Y. Kambayashi,Taylor & Francis,2002,,262,"eng,und",计算机,本,79.0,onsale,/works/OL18459332W
计算机,Relational database systems,9783540120322,J. Schmidt,Springer,1983,,618,eng,计算机,本,79.0,onsale,/works/OL8097002W
计算机,Databases and Database Systems,9780862382377,Elizabeth Oxborrow,Chartwell-Bratt Ltd,1989,,273,,计算机,本,79.0,onsale,/works/OL9704210W
计算机,Database Systems,9780131970885,Alice Tsai,Prentice Hall Canada,1988,,326,eng,计算机,本,79.0,onsale,/works/OL9320001W
计算机,Database System,9781285099675,"Carlos Coronel, Steven Morris, Peter Rob",Cengage Learning,2013,,,,计算机,本,79.0,onsale,/works/OL31585019W
计算机,Intelligent Information and Database Systems,9783031217425,Ngoc Thanh Nguyen; Chong-Gun Kim; Adam Janiak,Springer International Publishing AG,2011,,,eng,计算机,本,79.0,onsale,/works/OL26538763W
计算机,Database Systems for Advanced Applications,9783642008870,Xiaofang Zhou; Haruo Yokota; Ke Deng,"Springer London, Limited",2009,,643,eng,计算机,本,79.0,onsale,/works/OL22429718W
计算机,Advances in object-oriented database systems,9780038757855,,Springer-Verlag,1994,,515,eng,计算机,本,79.0,onsale,/works/OL18879883W
计算机,Readings in database systems,9781435626393,Michael Stonebraker,Brand: Morgan Kaufmann Publishers,1994,,970,eng,计算机,本,79.0,onsale,/works/OL23536113W
计算机,Fundamentals of database systems,9780201542639,Shamkant B. Navathe Ramez E. Elmasri,Addison-Wesley,2000,,,eng,计算机,本,79.0,onsale,/works/OL31857012W
计算机,Fundamentals of Database Systems,9780321122261,Ramez Elmasri,Addison Wesley,2003,,1009,eng,计算机,本,79.0,onsale,/works/OL15014156W
计算机,Object Oriented Database Systems,9788120312579,C.S.R. Prabhu,Prentice-Hall of India Pvt.Ltd,2004,,,,计算机,本,79.0,onsale,/works/OL9081400W
计算机,Introduction to Database Systems,9780136063261,Catherine Chen; William H. Hsu,"Pearson Education, Limited",2024,,864,eng,计算机,本,79.0,onsale,/works/OL21434048W
计算机,Pearson EText for Database Systems,9781292436364,Thomas Connolly; Carolyn Begg,"Pearson Education, Limited",2022,,,eng,计算机,本,79.0,onsale,/works/OL27086764W
计算机,Principles of Database Systems with Internet and Java Applications,9780321185563,Greg Riccardi,Addison Wesley Longman,2000,,518,eng,计算机,本,79.0,onsale,/works/OL8021045W
计算机,Database Systems,9781032202020,Elvis C Foster; Shripad Godbole,Apress L. P.,2014,,517,eng,计算机,本,79.0,onsale,/works/OL27290513W
计算机,Prolog programming,9780201146479,Claudia Marcus,Addison-Wesley Pub. Co.,1986,,325,eng,计算机,本,79.0,onsale,/works/OL5267674W
计算机,Specifications of Database Systems,9780387197326,David J. Harper,Springer,1992,,327,eng,计算机,本,79.0,onsale,/works/OL8055204W
计算机,Real-time database systems,9781461561620,Azer Bestavros; Kwei-Jay Lin,Springer,1997,,376,eng,计算机,本,79.0,onsale,/works/OL18341707W
计算机,Database,9780071204132,Silberschatz; Korth; Sudarshan.,McGraw-Hill Higher Education,2002,,1064,,计算机,本,79.0,onsale,/works/OL31701591W
计算机,Query processing for advanced database systems,9780080515595,Johann Christoph Freytag; David Maier; Gottfried Vossen,Morgan Kaufmann,1993,,497,eng,计算机,本,79.0,onsale,/works/OL17989446W
计算机,Developing Quality Complex Database Systems,9781322050324,Shirley Becker,Idea Group Publishing,2000,,385,eng,计算机,本,79.0,onsale,/works/OL28960738W
计算机,Database Systems: A Pragmatic Approach,9781484211922,Elvis C. Foster; Shripad Godbole,Apress,2016,,604,,计算机,本,79.0,onsale,/works/OL19546452W
计算机,Mobile Database Systems,9781280519192,Vijay Kumar,"Wiley & Sons Canada, Limited, John",2006,,,eng,计算机,本,79.0,onsale,/works/OL36030609W
计算机,Advanced Database Systems,9781774697610,Waqas Ahmed,Toronto Academic Press,2024,,256,eng,计算机,本,79.0,onsale,/works/OL38681146W
计算机,Climate and Environmental Database Systems,9781461540953,Michael Lautenschlager; Philippe Aigrain; HongJiang Zhang,Kluwer Academic,1996,,197,eng,计算机,本,79.0,onsale,/works/OL21080077W
计算机,Database management systems,9781322670508,Michael M. Gorman,Elsevier Science & Technology Books,1991,,454,eng,计算机,本,79.0,onsale,/works/OL3924508W
计算机,Video database systems,9780792398721,Ahmed K. Elmagarmid,Springer,1997,,184,eng,计算机,本,79.0,onsale,/works/OL18231865W
计算机,Relational Database Systems,9780632031160,Paul Beynon-Davies,Alfred Waller Ltd,1991,,250,eng,计算机,本,79.0,onsale,/works/OL4296323W
计算机,Database management systems,9780071151108,Raghu Ramakrishnan; Johannes Gehrke,McGraw-Hill Companies,2002,,1065,eng,计算机,本,79.0,onsale,/works/OL16965283W
计算机,Object-oriented database systems,9780201624397,Elisa Bertino,Addison-Wesley Pub. Co.,1993,,264,eng,计算机,本,79.0,onsale,/works/OL3932233W
计算机,Database Systems : Pearson New International Edition,9781292024479,Hector Garcia-Molina; Jeffrey D. Ullman; Jennifer Widom,"Pearson Education, Limited",2013,,1152,eng,计算机,本,79.0,onsale,/works/OL21513863W
计算机,Visual Database Systems 3,9781475769371,Stefano Spaccapietra,Springer,2013,,445,eng,计算机,本,79.0,onsale,/works/OL20713295W
计算机,The Architectural Logic of Database Systems,9781447116165,Emmanuel J. Yannakoudakis,Springer,2011,,336,eng,计算机,本,79.0,onsale,/works/OL20688590W
计算机,Database Systems for Advanced Applications,9789819755684,Guoliang Li; Jun Yang; Joao Gama; Juggapong Natwichai; Yongxin Tong,Springer International Publishing AG,2019,,444,eng,计算机,本,79.0,onsale,/works/OL20819142W
计算机,Intelligent Information and Database Systems,9783319754192,Ngọc Thanh Nguyễn; Duong Hung Hoang; Tzung-Pei Hong; Hoang Pham; Bogdan Trawiński,Springer,2011,,684,,计算机,本,79.0,onsale,/works/OL20665534W
计算机,Similarity Joins in Relational Database Systems,9781627050296,Nikolaus Augsten; Michael H. Böhlen,Springer International Publishing AG,2013,,,eng,计算机,本,79.0,onsale,/works/OL27354821W
计算机,Readings in object-oriented database systems,9781558600003,David Maier,Morgan Kaufmann,1990,,629,eng,计算机,本,79.0,onsale,/works/OL16641078W
计算机,Database management systems,9781844804528,Patricia Ward; George A Dafoulas,Int. Cengage Business Press,2006,,334,eng,计算机,本,79.0,onsale,/works/OL21411871W
计算机,Management of heterogeneous and autonomous database systems,9781558602168,Ahmed K. Elmagarmid; A. Sheth,Morgan Kaufmann,1998,,407,eng,计算机,本,79.0,onsale,/works/OL18409601W
计算机,Readings in database systems,9780934613651,Michael Stonebraker,Morgan Kaufmann Publishers,1988,,644,eng,计算机,本,79.0,onsale,/works/OL16641022W
计算机,Encyclopedia of Database Systems,9781461482642,Ling Liu; M. Tamer Özsu,Springer New York,2017,,4866,eng,计算机,本,79.0,onsale,/works/OL25618601W
计算机,Intelligent Image Database Systems,9789812798015,Erland Jungert; Genoveffa Tortora; S. K. Chang,World Scientific Publishing Co Pte Ltd,1996,,,eng,计算机,本,79.0,onsale,/works/OL36450066W
计算机,Fundamentals of Database Systems,9781779561701,Kaitlyn Salter,Toronto Academic Press,2024,,272,eng,计算机,本,79.0,onsale,/works/OL38685968W
计算机,Aspect-oriented database systems,9783540009481,Awais Rashid,Springer-Verlag,2003,,176,eng,计算机,本,79.0,onsale,/works/OL6036591W
计算机,SISTEMAS DE BASES DE DATOS,9788478290758,Thomas M. Connolly; Carolyn E. Begg,Pearson Educacion,2006,,1269,spa,计算机,本,79.0,onsale,/works/OL34037691W
计算机,XML data management,9780201844528,Akmal B. Chaudhri; Awais Rashid; Roberto Zicari,Addison-Wesley Professional,2003,,665,eng,计算机,本,79.0,onsale,/works/OL18843785W
计算机,Spatial database systems,9781402053924,Albert K.W. Yeung; G. Brent Hall,"Springer London, Limited",2007,,564,eng,计算机,本,79.0,onsale,/works/OL18735780W
计算机,Multimedia database systems,9783540587101,V. S. Subrahmanian; Sushil Jajodia,Springer,1995,,331,eng,计算机,本,79.0,onsale,/works/OL19471348W
计算机,Tutorial,9780818688386,L. L. Miller,Institute of Electrical & Electronics Enginee,1989,,473,eng,计算机,本,79.0,onsale,/works/OL3477415W
计算机,MAXDATA,9780387522098,Wilhelm A. Hennerkes,Springer-Verlag,1990,,151,eng,计算机,本,79.0,onsale,/works/OL4790382W
计算机,Principles of Distributed Database Systems,9780130412126,M. Tamer Ozsu,Prentice Hall,2007,,704,eng,计算机,本,79.0,onsale,/works/OL7945615W
计算机,Database Systems,9781639871513,Camila Thompson,Murphy & Moore Publishing,2021,,,eng,计算机,本,79.0,onsale,/works/OL26691459W
计算机,Database systems,9780130319951,,Prentice Hall,2001,,1152,eng,计算机,本,79.0,onsale,/works/OL16932928W
计算机,Database Management System,9780429282843,Jagdish Chandra Patni; Hitesh Kumar Sharma; Ravi Tomar; Avita Katal,CRC Press LLC,2022,,,eng,计算机,本,79.0,onsale,/works/OL25804159W
计算机,Intelligent Information and Database Systems,9783662493892,Ngoc-Thanh Nguyen; Boonwat Attachoo; Bogdan Trawinski; Kulwadee Somboonviwat,Springer,2014,,639,eng,计算机,本,79.0,onsale,/works/OL20702571W
计算机,Concurrency control and recovery in database systems,9780201107159,Philip A. Bernstein,Addison-Wesley Pub. Co.,1987,,370,eng,计算机,本,79.0,onsale,/works/OL3350481W
计算机,Principles of Database & Knowledge-Base Systems Vol. 1,9780716781585,Jeffrey D. Ullman,W.H. Freeman & Company,1988,,631,eng,计算机,本,79.0,onsale,/works/OL2640318W
计算机,Bundle : Database Systems,9780357478967,Carlos Coronel; Steven Morris,Course Technology,2016,,,eng,计算机,本,79.0,onsale,/works/OL27774088W
计算机,Distributed and multi-database systems,9780553091564,Angelo R. Bobak,Bantam Books,1993,,477,eng,计算机,本,79.0,onsale,/works/OL2709707W
计算机,Intelligent Information and Database Systems,9783642121463,"Manh Thanh Le,Jerzy Swiatek",Springer,2011,,,,计算机,本,79.0,onsale,/works/OL20683197W
计算机,On Object-Oriented Database Systems,9783642843747,Klaus R. Dittrich,Springer Berlin Heidelberg,1991,,431,eng,计算机,本,79.0,onsale,/works/OL19892243W
计算机,Object-Oriented Database System,9784431683094,Hiroshi Ishikawa,Springer Japan,1993,,164,eng,计算机,本,79.0,onsale,/works/OL19891758W
计算机,Sequence data mining,9780387699363,Guozhu Dong,Springer,2007,,159,eng,计算机,本,79.0,onsale,/works/OL16357552W
计算机,Database Systems,9780471478478,Nickerson,John Wiley & Sons Inc,2008,,650,,计算机,本,79.0,onsale,/works/OL9170159W
计算机,Database System,9781418848576,,n/a,2004,,,,计算机,本,79.0,onsale,/works/OL33889674W
计算机,Database Systems,9780072359527,Atzeni,McGraw-Hill Education,,,,,计算机,本,79.0,onsale,/works/OL33875204W
计算机,Database Systems,9781425774608,"Foster, Elvis C., Godbole, Shripad V.",Xlibris,2012,,676,,计算机,本,79.0,onsale,/works/OL35330063W
计算机,Database Systems,9781979614566,Walter Evans,CreateSpace Independent Publishing Platform,2017,,336,eng,计算机,本,79.0,onsale,/works/OL40726893W
计算机,Database Systems,9781979430807,Shaun Smith,CreateSpace Independent Publishing Platform,2017,,336,eng,计算机,本,79.0,onsale,/works/OL41087969W
计算机,Database Systems,9781981839902,Jacques George,CreateSpace Independent Publishing Platform,2017,,336,eng,计算机,本,79.0,onsale,/works/OL41277165W
计算机,Database Systems,9780321292711,,Clearway Logistics Phase 10-12,,,,,计算机,本,79.0,onsale,/works/OL10460481M
计算机,Database Systems,9781418836504,Rob Peter; Carlos Coronel; Peter Rob,Crisp Learning,2006,,668,eng,计算机,本,79.0,onsale,/works/OL37482314W
计算机,A practical approach to database systems,9789630566360,"Quittner, Pál.",Akadémiai Kiadó,1994,,291,eng,计算机,本,79.0,onsale,/works/OL3612608W
计算机,Database Systems,9781505334814,Keisha Peak,CreateSpace Independent Publishing Platform,2014,,184,eng,计算机,本,79.0,onsale,/works/OL40670104W
计算机,ESCAP minerals database system,9789211196696,United Nations. Economic and Social Commission for Asia and the Pacific,United Nations Pubns,1999,,82,eng,计算机,本,79.0,onsale,/works/OL38634084W
计算机,Federated Database System,9781977723413,Gerard Blokdyk,CreateSpace Independent Publishing Platform,2017,,124,eng,计算机,本,79.0,onsale,/works/OL40810519W
计算机,Database Systems,9781505334876,Inaya Totah,CreateSpace Independent Publishing Platform,2014,,184,eng,计算机,本,79.0,onsale,/works/OL40402844W
计算机,Heterogeneous Database System,9781719121279,Gerardus Blokdyk,CreateSpace Independent Publishing Platform,2018,,142,eng,计算机,本,79.0,onsale,/works/OL40324381W
计算机,Database systems,9780619062699,Peter Rob,Course Technology,2002,,838,eng,计算机,本,79.0,onsale,/works/OL16056628W
计算机,Database System,9780789572684,Peter Rob; Carlos Coronel,Course Technology Ptr (Sd),2000,,,eng,计算机,本,79.0,onsale,/works/OL8157130M
计算机,Database Internals,9781492040347,Alex Petrov,"O'Reilly Media, Incorporated",2019,,280,eng,计算机,本,79.0,onsale,/works/OL21360140W
计算机,Database Systems for Advanced Applications,9783642374517,Weiyi Meng; Ling Feng; Stephane Bressan; Werner Winiwarter; Wei Song,"Springer London, Limited",2013,,489,eng,计算机,本,79.0,onsale,/works/OL20868829W
计算机,New Trends in Intelligent Information and Database Systems,9783319162119,Dariusz Barbucha; Ngọc Thanh Nguyễn; John Batubara,Springer,2015,,387,eng,计算机,本,79.0,onsale,/works/OL20714789W
计算机,Advanced Approaches to Intelligent Information and Database Systems,9783319382371,Janusz Sobecki; Veera Boonjing; Suphamit Chittayasothorn,"Springer London, Limited",2014,,376,eng,计算机,本,79.0,onsale,/works/OL21645031W
计算机,A self-organizing database system - a different approach to query optimization,9781019251669,Gregory Piatetsky-Shapiro,"Courant Institute of Mathematical Sciences, New York University",1984,,104,eng,计算机,本,79.0,onsale,/works/OL8694350W
计算机,Relational database systems,9780444877185,Claude Delobel,North-Holland,1985,,451,eng,计算机,本,79.0,onsale,/works/OL13383206W
计算机,Database Systems : Pearson New International Edition,9781292025889,Thomas M. Connolly; Carolyn E. Begg,"Pearson Education, Limited",2013,,1295,eng,计算机,本,79.0,onsale,/works/OL21513986W
